Median Rate,Longitude,Latitude,"""1990""","""1991""","""1992""","""1993""","""1994""","""1995""","""1996""","""1997""","""1998""","""1999""","""2000""","""2001""","""2002""","""2003""","""2004""","""2005""","""2006""","""2007""","""2008""","""2009""","""2010""","""2011""","""2012""","""2013""","""2014""","""2015""","""2016""","""2017""","""2018""","""2019""","""2020""","""2021""","""2022""","""2023""","""2024""","""2025""","""2026""","""2027""","""2028""","""2029""","""2030""","""2031""","""2032""","""2033""","""2034""","""2035""","""2036""","""2037""","""2038""","""2039""","""2040""","""2041""","""2042""","""2043""","""2044""","""2045""","""2046""","""2047""","""2048""","""2049""","""2050""","""2051""","""2052""","""2053""","""2054""","""2055""","""2056""","""2057""","""2058""","""2059""","""2060""","""2061""","""2062""","""2063""","""2064""","""2065""","""2066""","""2067""","""2068""","""2069""","""2070""","""2071""","""2072""","""2073""","""2074""","""2075""","""2076""","""2077""","""2078""","""2079""","""2080""","""2081""","""2082""","""2083""","""2084""","""2085""","""2086""","""2087""","""2088""","""2089""","""2090""","""2091""","""2092""","""2093""","""2094""","""2095""","""2096""","""2097""","""2098""","""2099""","""2100""","""2101""","""2102""","""2103""","""2104""","""2105""","""2106""","""2107""","""2108""","""2109""","""2110""","""2111""","""2112""","""2113""","""2114"""
0.003091893,67.709953,33.93911,0.228187363,0.197712615,0.103278005,0.090615852,0.080079985,0.072146977,0.065114798,0.058606527,0.054167558,0.041647373,0.03792461,0.030232274,0.016185612,0.025222764,0.030534565,0.040857766,0.052219589,0.075568812,0.145284418,0.235439186,0.238531079,0.241622972,0.244714865,0.247806758,0.250898651,0.253990544,0.257082437,0.26017433,0.263266223,0.266358116,0.269450009,0.272541902,0.275633795,0.278725688,0.281817581,0.284909474,0.288001367,0.29109326,0.294185153,0.297277046,0.300368939,0.303460832,0.306552725,0.309644618,0.312736511,0.315828404,0.318920297,0.32201219,0.325104083,0.328195976,0.331287869,0.334379762,0.337471655,0.340563548,0.343655441,0.346747334,0.349839227,0.35293112,0.356023013,0.359114906,0.362206799,0.365298692,0.368390585,0.371482478,0.374574371,0.377666264,0.380758157,0.38385005,0.386941943,0.390033836,0.393125729,0.396217622,0.399309515,0.402401408,0.405493301,0.408585194,0.411677087,0.41476898,0.417860873,0.420952766,0.424044659,0.427136552,0.430228445,0.433320338,0.436412231,0.439504124,0.442596017,0.44568791,0.448779803,0.451871696,0.454963589,0.458055482,0.461147375,0.464239268,0.467331161,0.470423054,0.473514947,0.47660684,0.479698733,0.482790626,0.485882519,0.488974412,0.492066305,0.495158198,0.498250091,0.501341984,0.504433877,0.50752577,0.510617663,0.513709556,0.516801449,0.519893342,0.522985235,0.526077128,0.529169021,0.532260914,0.535352807,0.5384447,0.541536593,0.544628486,0.547720379,0.550812272,0.553904165,0.556996058,0.560087951
-0.038953533,20.168331,41.153332,2.278386827,1.215676857,0.73519813,0.726062789,0.601346953,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.051950468,1.229372684,1.415471218,1.38185531,1.421353924,1.302217499,1.379077691,1.417668106,1.345103479,1.306149946,1.267196413,1.22824288,1.189289347,1.150335814,1.111382281,1.072428748,1.033475215,0.994521682,0.955568149,0.916614616,0.877661083,0.83870755,0.799754017,0.760800484,0.721846951,0.682893418,0.643939885,0.604986352,0.566032819,0.527079286,0.488125753,0.44917222,0.410218687,0.371265154,0.332311621,0.293358088,0.254404555,0.215451022,0.176497489,0.137543956,0.098590423,0.05963689,0.020683357,-0.018270176,-0.057223709,-0.096177242,-0.135130775,-0.174084308,-0.213037841,-0.251991374,-0.290944907,-0.32989844,-0.368851973,-0.407805506,-0.446759039,-0.485712572,-0.524666105,-0.563619638,-0.602573171,-0.641526704,-0.680480237,-0.71943377,-0.758387303,-0.797340836,-0.836294369,-0.875247902,-0.914201435,-0.953154968,-0.992108501,-1.031062034,-1.070015567,-1.1089691,-1.147922633,-1.186876166,-1.225829699,-1.264783232,-1.303736765,-1.342690298,-1.381643831,-1.420597364,-1.459550897,-1.49850443,-1.537457963,-1.576411496,-1.615365029,-1.654318562,-1.693272095,-1.732225628,-1.771179161,-1.810132694,-1.849086227,-1.88803976,-1.926993293,-1.965946826,-2.004900359,-2.043853892,-2.082807425,-2.121760958,-2.160714491,-2.199668024,-2.238621557,-2.27757509,-2.316528623,-2.355482156,-2.394435689,-2.433389222,-2.472342755,-2.511296288,-2.550249821,-2.589203354,-2.628156887,-2.66711042,-2.706063953,-2.745017486
0.016239497,1.659626,28.033886,3.006721912,3.028919415,2.98751988,2.929035648,3.00320905,3.230136294,3.235587368,2.906365551,3.474320431,2.945320314,2.772147555,2.621860338,2.789232068,2.803740228,2.674522946,3.154443155,3.012793702,3.200797999,3.20834736,3.424272074,3.440511571,3.456751068,3.472990565,3.489230062,3.505469559,3.521709056,3.537948553,3.55418805,3.570427547,3.586667044,3.602906541,3.619146038,3.635385535,3.651625032,3.667864529,3.684104026,3.700343523,3.71658302,3.732822517,3.749062014,3.765301511,3.781541008,3.797780505,3.814020002,3.830259499,3.846498996,3.862738493,3.87897799,3.895217487,3.911456984,3.927696481,3.943935978,3.960175475,3.976414972,3.992654469,4.008893966,4.025133463,4.04137296,4.057612457,4.073851954,4.090091451,4.106330948,4.122570445,4.138809942,4.155049439,4.171288936,4.187528433,4.20376793,4.220007427,4.236246924,4.252486421,4.268725918,4.284965415,4.301204912,4.317444409,4.333683906,4.349923403,4.3661629,4.382402397,4.398641894,4.414881391,4.431120888,4.447360385,4.463599882,4.479839379,4.496078876,4.512318373,4.52855787,4.544797367,4.561036864,4.577276361,4.593515858,4.609755355,4.625994852,4.642234349,4.658473846,4.674713343,4.69095284,4.707192337,4.723431834,4.739671331,4.755910828,4.772150325,4.788389822,4.804629319,4.820868816,4.837108313,4.85334781,4.869587307,4.885826804,4.902066301,4.918305798,4.934545295,4.950784792,4.967024289,4.983263786,4.999503283,5.01574278,5.031982277,5.048221774,5.064461271,5.080700768,5.096940265,5.113179762,5.129419259
0.331836035,1.601554,42.546245,0.1,0,0,0,0,6.374494942,6.618103743,7.152051802,7.58701547,8.011048,8.018180706,7.711485294,7.422144363,7.077746784,7.142904123,7.088127747,6.673217143,6.631021503,6.740724531,6.573271971,6.905108006,7.236944041,7.568780076,7.900616111,8.232452146,8.564288181,8.896124216,9.227960251,9.559796286,9.891632321,10.22346836,10.55530439,10.88714043,11.21897646,11.5508125,11.88264853,12.21448457,12.5463206,12.87815664,13.20999267,13.54182871,13.87366474,14.20550078,14.53733681,14.86917285,15.20100888,15.53284492,15.86468095,16.19651699,16.52835302,16.86018906,17.19202509,17.52386113,17.85569716,18.1875332,18.51936923,18.85120527,19.1830413,19.51487734,19.84671337,20.17854941,20.51038544,20.84222148,21.17405751,21.50589355,21.83772958,22.16956562,22.50140165,22.83323769,23.16507372,23.49690976,23.82874579,24.16058183,24.49241786,24.8242539,25.15608993,25.48792597,25.819762,26.15159804,26.48343407,26.81527011,27.14710614,27.47894218,27.81077821,28.14261425,28.47445028,28.80628632,29.13812235,29.46995839,29.80179442,30.13363046,30.46546649,30.79730253,31.12913856,31.4609746,31.79281063,32.12464667,32.4564827,32.78831874,33.12015477,33.45199081,33.78382684,34.11566288,34.44749891,34.77933495,35.11117098,35.44300702,35.77484305,36.10667909,36.43851512,36.77035116,37.10218719,37.43402323,37.76585926,38.0976953,38.42953133,38.76136737,39.0932034,39.42503944,39.75687547,40.08871151,40.42054754,40.75238358,41.08421961,41.41605565
0.056365134,17.873887,-11.202692,0.428662945,0.409979248,0.401602489,0.510122619,0.331307492,0.909710423,0.842542029,0.577081314,0.556293635,0.677726241,0.685212349,0.676539905,0.850821552,0.587820499,1.176297818,1.157880358,1.300402531,1.419985486,1.452228381,1.470740834,1.527105968,1.583471102,1.639836236,1.69620137,1.752566504,1.808931638,1.865296772,1.921661906,1.97802704,2.034392174,2.090757308,2.147122442,2.203487576,2.25985271,2.316217844,2.372582978,2.428948112,2.485313246,2.54167838,2.598043514,2.654408648,2.710773782,2.767138916,2.82350405,2.879869184,2.936234318,2.992599452,3.048964586,3.10532972,3.161694854,3.218059988,3.274425122,3.330790256,3.38715539,3.443520524,3.499885658,3.556250792,3.612615926,3.66898106,3.725346194,3.781711328,3.838076462,3.894441596,3.95080673,4.007171864,4.063536998,4.119902132,4.176267266,4.2326324,4.288997534,4.345362668,4.401727802,4.458092936,4.51445807,4.570823204,4.627188338,4.683553472,4.739918606,4.79628374,4.852648874,4.909014008,4.965379142,5.021744276,5.07810941,5.134474544,5.190839678,5.247204812,5.303569946,5.35993508,5.416300214,5.472665348,5.529030482,5.585395616,5.64176075,5.698125884,5.754491018,5.810856152,5.867221286,5.92358642,5.979951554,6.036316688,6.092681822,6.149046956,6.20541209,6.261777224,6.318142358,6.374507492,6.430872626,6.48723776,6.543602894,6.599968028,6.656333162,6.712698296,6.76906343,6.825428564,6.881793698,6.938158832,6.994523966,7.0508891,7.107254234,7.163619368,7.219984502,7.276349636,7.33271477,7.389079904
0.051394534,-61.796428,17.060816,4.85726747,4.700378132,4.624649242,4.748535487,4.683621337,4.721298044,4.593864332,4.670561524,4.49690052,4.581278521,4.439238615,4.364812845,4.536211421,4.804484327,4.980995619,4.974311149,5.096289552,5.257378817,5.370596023,5.778818076,5.83021261,5.881607144,5.933001678,5.984396212,6.035790746,6.08718528,6.138579814,6.189974348,6.241368882,6.292763416,6.34415795,6.395552484,6.446947018,6.498341552,6.549736086,6.60113062,6.652525154,6.703919688,6.755314222,6.806708756,6.85810329,6.909497824,6.960892358,7.012286892,7.063681426,7.11507596,7.166470494,7.217865028,7.269259562,7.320654096,7.37204863,7.423443164,7.474837698,7.526232232,7.577626766,7.6290213,7.680415834,7.731810368,7.783204902,7.834599436,7.88599397,7.937388504,7.988783038,8.040177572,8.091572106,8.14296664,8.194361174,8.245755708,8.297150242,8.348544776,8.39993931,8.451333844,8.502728378,8.554122912,8.605517446,8.65691198,8.708306514,8.759701048,8.811095582,8.862490116,8.91388465,8.965279184,9.016673718,9.068068252,9.119462786,9.17085732,9.222251854,9.273646388,9.325040922,9.376435456,9.42782999,9.479224524,9.530619058,9.582013592,9.633408126,9.68480266,9.736197194,9.787591728,9.838986262,9.890380796,9.94177533,9.993169864,10.0445644,10.09595893,10.14735347,10.198748,10.25014253,10.30153707,10.3529316,10.40432614,10.45572067,10.5071152,10.55850974,10.60990427,10.66129881,10.71269334,10.76408787,10.81548241,10.86687694,10.91827148,10.96966601,11.02106054,11.07245508,11.12384961,11.17524415
0.069885381,-61.796428,17.060816,3.206697558,3.291743509,3.496178304,3.731949822,3.755048122,3.498037344,3.393499824,3.202293191,3.399303754,3.384373561,3.774681268,3.623860425,3.608985337,3.852520479,4.144934447,4.261587401,4.348215763,4.225367574,4.442937209,4.480770803,4.550656184,4.620541565,4.690426946,4.760312327,4.830197708,4.900083089,4.96996847,5.039853851,5.109739232,5.179624613,5.249509994,5.319395375,5.389280756,5.459166137,5.529051518,5.598936899,5.66882228,5.738707661,5.808593042,5.878478423,5.948363804,6.018249185,6.088134566,6.158019947,6.227905328,6.297790709,6.36767609,6.437561471,6.507446852,6.577332233,6.647217614,6.717102995,6.786988376,6.856873757,6.926759138,6.996644519,7.0665299,7.136415281,7.206300662,7.276186043,7.346071424,7.415956805,7.485842186,7.555727567,7.625612948,7.695498329,7.76538371,7.835269091,7.905154472,7.975039853,8.044925234,8.114810615,8.184695996,8.254581377,8.324466758,8.394352139,8.46423752,8.534122901,8.604008282,8.673893663,8.743779044,8.813664425,8.883549806,8.953435187,9.023320568,9.093205949,9.16309133,9.232976711,9.302862092,9.372747473,9.442632854,9.512518235,9.582403616,9.652288997,9.722174378,9.792059759,9.86194514,9.931830521,10.0017159,10.07160128,10.14148666,10.21137205,10.28125743,10.35114281,10.42102819,10.49091357,10.56079895,10.63068433,10.70056971,10.77045509,10.84034047,10.91022586,10.98011124,11.04999662,11.119882,11.18976738,11.25965276,11.32953814,11.39942352,11.4693089,11.53919428,11.60907967,11.67896505,11.74885043,11.81873581
0.050959736,-63.616672,-38.416097,3.451770266,3.538038326,3.62304486,3.492412111,3.585840171,3.518125971,3.664289062,3.773465207,3.812693347,3.984389596,3.822902416,3.55835158,3.275956616,3.506066026,4.076616381,4.164577003,4.468897615,4.587088109,4.790214372,4.488322189,4.539281925,4.590241661,4.641201397,4.692161133,4.743120869,4.794080605,4.845040341,4.896000077,4.946959813,4.997919549,5.048879285,5.099839021,5.150798757,5.201758493,5.252718229,5.303677965,5.354637701,5.405597437,5.456557173,5.507516909,5.558476645,5.609436381,5.660396117,5.711355853,5.762315589,5.813275325,5.864235061,5.915194797,5.966154533,6.017114269,6.068074005,6.119033741,6.169993477,6.220953213,6.271912949,6.322872685,6.373832421,6.424792157,6.475751893,6.526711629,6.577671365,6.628631101,6.679590837,6.730550573,6.781510309,6.832470045,6.883429781,6.934389517,6.985349253,7.036308989,7.087268725,7.138228461,7.189188197,7.240147933,7.291107669,7.342067405,7.393027141,7.443986877,7.494946613,7.545906349,7.596866085,7.647825821,7.698785557,7.749745293,7.800705029,7.851664765,7.902624501,7.953584237,8.004543973,8.055503709,8.106463445,8.157423181,8.208382917,8.259342653,8.310302389,8.361262125,8.412221861,8.463181597,8.514141333,8.565101069,8.616060805,8.667020541,8.717980277,8.768940013,8.819899749,8.870859485,8.921819221,8.972778957,9.023738693,9.074698429,9.125658165,9.176617901,9.227577637,9.278537373,9.329497109,9.380456845,9.431416581,9.482376317,9.533336053,9.584295789,9.635255525,9.686215261,9.737174997,9.788134733,9.839094469
0.071211788,45.038189,40.069099,0.1,0,1.174674163,0.859706565,0.901718662,1.083089242,0.821584566,1.044825239,1.094342744,0.988511937,1.126529454,1.157636701,0.998886775,1.129317807,1.204698359,1.446163526,1.459272353,1.694981274,1.865836235,1.466476807,1.537688595,1.608900383,1.680112171,1.751323959,1.822535747,1.893747535,1.964959323,2.036171111,2.107382899,2.178594687,2.249806475,2.321018263,2.392230051,2.463441839,2.534653627,2.605865415,2.677077203,2.748288991,2.819500779,2.890712567,2.961924355,3.033136143,3.104347931,3.175559719,3.246771507,3.317983295,3.389195083,3.460406871,3.531618659,3.602830447,3.674042235,3.745254023,3.816465811,3.887677599,3.958889387,4.030101175,4.101312963,4.172524751,4.243736539,4.314948327,4.386160115,4.457371903,4.528583691,4.599795479,4.671007267,4.742219055,4.813430843,4.884642631,4.955854419,5.027066207,5.098277995,5.169489783,5.240701571,5.311913359,5.383125147,5.454336935,5.525548723,5.596760511,5.667972299,5.739184087,5.810395875,5.881607663,5.952819451,6.024031239,6.095243027,6.166454815,6.237666603,6.308878391,6.380090179,6.451301967,6.522513755,6.593725543,6.664937331,6.736149119,6.807360907,6.878572695,6.949784483,7.020996271,7.092208059,7.163419847,7.234631635,7.305843423,7.377055211,7.448266999,7.519478787,7.590690575,7.661902363,7.733114151,7.804325939,7.875537727,7.946749515,8.017961303,8.089173091,8.160384879,8.231596667,8.302808455,8.374020243,8.445232031,8.516443819,8.587655607,8.658867395,8.730079183,8.801290971,8.872502759,8.943714547
-0.33864626,-69.968338,12.52111,29.62016477,29.84760844,25.25815197,24.43048084,22.99644068,22.18661455,21.77412104,21.67232319,19.11734039,18.91098153,24.57904642,24.0798114,23.74024949,23.24594135,22.87650645,22.72835421,22.54824953,23.29484583,22.5786233,22.63446331,22.29581705,21.95717079,21.61852453,21.27987827,20.94123201,20.60258575,20.26393949,19.92529323,19.58664697,19.24800071,18.90935445,18.57070819,18.23206193,17.89341567,17.55476941,17.21612315,16.87747689,16.53883063,16.20018437,15.86153811,15.52289185,15.18424559,14.84559933,14.50695307,14.16830681,13.82966055,13.49101429,13.15236803,12.81372177,12.47507551,12.13642925,11.79778299,11.45913673,11.12049047,10.78184421,10.44319795,10.10455169,9.76590543,9.42725917,9.08861291,8.74996665,8.41132039,8.07267413,7.73402787,7.39538161,7.05673535,6.71808909,6.37944283,6.04079657,5.70215031,5.36350405,5.02485779,4.68621153,4.34756527,4.00891901,3.67027275,3.33162649,2.99298023,2.65433397,2.31568771,1.97704145,1.63839519,1.29974893,0.96110267,0.62245641,0.28381015,-0.05483611,-0.39348237,-0.73212863,-1.07077489,-1.40942115,-1.74806741,-2.08671367,-2.42535993,-2.76400619,-3.10265245,-3.44129871,-3.77994497,-4.11859123,-4.45723749,-4.79588375,-5.13453001,-5.47317627,-5.81182253,-6.15046879,-6.48911505,-6.82776131,-7.16640757,-7.50505383,-7.84370009,-8.18234635,-8.52099261,-8.85963887,-9.19828513,-9.53693139,-9.87557765,-10.21422391,-10.55287017,-10.89151643,-11.23016269,-11.56880895,-11.90745521,-12.24610147,-12.58474773,-12.92339399
