Rate,Country Name,"longitude, latitude",Country Code,"""1990""","""1991""","""1992""","""1993""","""1994""","""1995""","""1996""","""1997""","""1998""","""1999""","""2000""","""2001""","""2002""","""2003""","""2004""","""2005""","""2006""","""2007""","""2008""","""2009""","""2010""","""2011""","""2012""","""2013""","""2014""","""2015""","""2016""","""2017""","""2018""","""2019""","""2020""","""2021""","""2022""","""2023""","""2024""","""2025""","""2026""","""2027""","""2028""","""2029""","""2030""","""2031""","""2032""","""2033""","""2034""","""2035""","""2036""","""2037""","""2038""","""2039""","""2040""","""2041""","""2042""","""2043""","""2044""","""2045""","""2046""","""2047""","""2048""","""2049""","""2050""","""2051""","""2052""","""2053""","""2054""","""2055""","""2056""","""2057""","""2058""","""2059""","""2060""","""2061""","""2062""","""2063""","""2064""","""2065""","""2066""","""2067""","""2068""","""2069""","""2070""","""2071""","""2072""","""2073""","""2074""","""2075""","""2076""","""2077""","""2078""","""2079""","""2080""","""2081""","""2082""","""2083""","""2084""","""2085""","""2086""","""2087""","""2088""","""2089""","""2090""","""2091""","""2092""","""2093""","""2094""","""2095""","""2096""","""2097""","""2098""","""2099""","""2100""","""2101""","""2102""","""2103""","""2104""","""2105""","""2106""","""2107""","""2108""","""2109""","""2110""","""2111""","""2112""","""2113""","""2114"""
0,Afghanistan,"67.709953,33.93911",AFG,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
-6.809090909,Albania,"20.168331,41.153332",ALB,7890,7870,7850,7830,7810,7790,7770,7750,7730,7710,7690,7716,7742,7768,7794,7820,7808.6,7797.2,7785.8,7774.4,7763,7751.6,7740.2,7733.390909,7726.581818,7719.772727,7712.963636,7706.154545,7699.345455,7692.536364,7685.727273,7678.918182,7672.109091,7665.3,7658.490909,7651.681818,7644.872727,7638.063636,7631.254545,7624.445455,7617.636364,7610.827273,7604.018182,7597.209091,7590.4,7583.590909,7576.781818,7569.972727,7563.163636,7556.354545,7549.545455,7542.736364,7535.927273,7529.118182,7522.309091,7515.5,7508.690909,7501.881818,7495.072727,7488.263636,7481.454545,7474.645455,7467.836364,7461.027273,7454.218182,7447.409091,7440.6,7433.790909,7426.981818,7420.172727,7413.363636,7406.554545,7399.745455,7392.936364,7386.127273,7379.318182,7372.509091,7365.7,7358.890909,7352.081818,7345.272727,7338.463636,7331.654545,7324.845455,7318.036364,7311.227273,7304.418182,7297.609091,7290.8,7283.990909,7277.181818,7270.372727,7263.563636,7256.754545,7249.945455,7243.136364,7236.327273,7229.518182,7222.709091,7215.9,7209.090909,7202.281818,7195.472727,7188.663636,7181.854545,7175.045455,7168.236364,7161.427273,7154.618182,7147.809091,7141,7134.190909,7127.381818,7120.572727,7113.763636,7106.954545,7100.145455,7093.336364,7086.527273,7079.718182,7072.909091,7066.1,7059.290909,7052.481818,7045.672727
-87.54545455,Algeria,"1.659626,28.033886",DZA,16670,16582,16494,16406,16318,16230,16142,16054,15966,15878,15790,15704,15618,15532,15446,15360,15272,15184,15096,15008,14920,14832,14744,14656.45455,14568.90909,14481.36364,14393.81818,14306.27273,14218.72727,14131.18182,14043.63636,13956.09091,13868.54545,13781,13693.45455,13605.90909,13518.36364,13430.81818,13343.27273,13255.72727,13168.18182,13080.63636,12993.09091,12905.54545,12818,12730.45455,12642.90909,12555.36364,12467.81818,12380.27273,12292.72727,12205.18182,12117.63636,12030.09091,11942.54545,11855,11767.45455,11679.90909,11592.36364,11504.81818,11417.27273,11329.72727,11242.18182,11154.63636,11067.09091,10979.54545,10892,10804.45455,10716.90909,10629.36364,10541.81818,10454.27273,10366.72727,10279.18182,10191.63636,10104.09091,10016.54545,9929,9841.454545,9753.909091,9666.363636,9578.818182,9491.272727,9403.727272,9316.181818,9228.636363,9141.090909,9053.545454,8966,8878.454545,8790.909091,8703.363636,8615.818182,8528.272727,8440.727272,8353.181818,8265.636363,8178.090909,8090.545454,8003,7915.454545,7827.909091,7740.363636,7652.818181,7565.272727,7477.727272,7390.181818,7302.636363,7215.090909,7127.545454,7040,6952.454545,6864.909091,6777.363636,6689.818181,6602.272727,6514.727272,6427.181818,6339.636363,6252.090909,6164.545454,6077,5989.454545,5901.90909,5814.363636
-0.340909091,American Samoa,"-170.132217,-14.270972",ASM,183.9,183.5,183.2,182.9,182.5,182.2,181.9,181.5,181.2,180.8,180.5,180.2,179.8,179.5,179.1,178.8,178.5,178.1,177.8,177.5,177.1,176.8,176.4,176.0590909,175.7181818,175.3772727,175.0363636,174.6954545,174.3545455,174.0136364,173.6727273,173.3318182,172.9909091,172.65,172.3090909,171.9681818,171.6272727,171.2863636,170.9454545,170.6045455,170.2636364,169.9227273,169.5818182,169.2409091,168.9,168.5590909,168.2181818,167.8772727,167.5363636,167.1954545,166.8545455,166.5136364,166.1727273,165.8318182,165.4909091,165.15,164.8090909,164.4681818,164.1272727,163.7863636,163.4454545,163.1045455,162.7636364,162.4227273,162.0818182,161.7409091,161.4,161.0590909,160.7181818,160.3772727,160.0363636,159.6954545,159.3545455,159.0136364,158.6727273,158.3318182,157.9909091,157.65,157.3090909,156.9681818,156.6272727,156.2863636,155.9454545,155.6045454,155.2636364,154.9227273,154.5818182,154.2409091,153.9,153.5590909,153.2181818,152.8772727,152.5363636,152.1954545,151.8545454,151.5136364,151.1727273,150.8318182,150.4909091,150.15,149.8090909,149.4681818,149.1272727,148.7863636,148.4454545,148.1045454,147.7636364,147.4227273,147.0818182,146.7409091,146.4,146.0590909,145.7181818,145.3772727,145.0363636,144.6954545,144.3545454,144.0136364,143.6727273,143.3318182,142.9909091,142.65,142.3090909,141.9681818,141.6272727
0,Andorra,"1.601554,42.546245",AND,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
-1248,Angola,"17.873887,-11.202692",AGO,609760,608512,607264,606016,604768,603520,602272,601024,599776,598528,597280,596032,594784,593536,592288,591040,589792,588544,587296,586048,584800,583552,582304,581056,579808,578560,577312,576064,574816,573568,572320,571072,569824,568576,567328,566080,564832,563584,562336,561088,559840,558592,557344,556096,554848,553600,552352,551104,549856,548608,547360,546112,544864,543616,542368,541120,539872,538624,537376,536128,534880,533632,532384,531136,529888,528640,527392,526144,524896,523648,522400,521152,519904,518656,517408,516160,514912,513664,512416,511168,509920,508672,507424,506176,504928,503680,502432,501184,499936,498688,497440,496192,494944,493696,492448,491200,489952,488704,487456,486208,484960,483712,482464,481216,479968,478720,477472,476224,474976,473728,472480,471232,469984,468736,467488,466240,464992,463744,462496,461248,460000,458752,457504,456256,455008
-0.227272727,Antigua and Barbuda,"-61.796428,17.060816",ATG,103,102.7,102.4,102.1,101.8,101.5,101.2,100.9,100.6,100.3,100,99.6,99.2,98.8,98.4,98,98,98,98,98,98,98,98,97.77272727,97.54545455,97.31818182,97.09090909,96.86363637,96.63636364,96.40909091,96.18181818,95.95454546,95.72727273,95.5,95.27272728,95.04545455,94.81818182,94.5909091,94.36363637,94.13636364,93.90909091,93.68181819,93.45454546,93.22727273,93.00000001,92.77272728,92.54545455,92.31818183,92.0909091,91.86363637,91.63636364,91.40909092,91.18181819,90.95454546,90.72727274,90.50000001,90.27272728,90.04545456,89.81818183,89.5909091,89.36363637,89.13636365,88.90909092,88.68181819,88.45454547,88.22727274,88.00000001,87.77272729,87.54545456,87.31818183,87.0909091,86.86363638,86.63636365,86.40909092,86.1818182,85.95454547,85.72727274,85.50000002,85.27272729,85.04545456,84.81818183,84.59090911,84.36363638,84.13636365,83.90909093,83.6818182,83.45454547,83.22727275,83.00000002,82.77272729,82.54545456,82.31818184,82.09090911,81.86363638,81.63636366,81.40909093,81.1818182,80.95454548,80.72727275,80.50000002,80.27272729,80.04545457,79.81818184,79.59090911,79.36363639,79.13636366,78.90909093,78.68181821,78.45454548,78.22727275,78.00000002,77.7727273,77.54545457,77.31818184,77.09090912,76.86363639,76.63636366,76.40909094,76.18181821,75.95454548,75.72727275,75.50000003,75.2727273,75.04545457,74.81818185
-2669.363636,Argentina,"-63.616672,-38.416097",ARG,347930,344998,342066,339134,336202,333270,330338,327406,324474,321542,318610,316086,313562,311038,308514,305990,303592,301194,298796,296398,294000,291602,289204,286534.6364,283865.2727,281195.9091,278526.5455,275857.1818,273187.8182,270518.4545,267849.0909,265179.7273,262510.3636,259841,257171.6364,254502.2727,251832.9091,249163.5455,246494.1818,243824.8182,241155.4546,238486.0909,235816.7273,233147.3636,230478,227808.6364,225139.2727,222469.9091,219800.5455,217131.1818,214461.8182,211792.4546,209123.0909,206453.7273,203784.3636,201115,198445.6364,195776.2727,193106.9091,190437.5455,187768.1818,185098.8182,182429.4546,179760.0909,177090.7273,174421.3637,171752,169082.6364,166413.2727,163743.9091,161074.5455,158405.1818,155735.8182,153066.4546,150397.0909,147727.7273,145058.3637,142389,139719.6364,137050.2727,134380.9091,131711.5455,129042.1818,126372.8182,123703.4546,121034.0909,118364.7273,115695.3637,113026,110356.6364,107687.2728,105017.9091,102348.5455,99679.18184,97009.81821,94340.45457,91671.09094,89001.7273,86332.36366,83663.00003,80993.63639,78324.27276,75654.90912,72985.54548,70316.18185,67646.81821,64977.45458,62308.09094,59638.7273,56969.36367,54300.00003,51630.6364,48961.27276,46291.90912,43622.54549,40953.18185,38283.81822,35614.45458,32945.09094,30275.72731,27606.36367,24937.00004,22267.6364,19598.27276,16928.90913
-42.45454545,Armenia,"45.038189,40.069099",ARM,3470,0,3384,3341,3298,3255,3212,3169,3126,3083,3040,2998,2956,2914,2872,2830,2788,2746,2704,2662,2620,2578,2536,2493.545455,2451.090909,2408.636364,2366.181818,2323.727273,2281.272727,2238.818182,2196.363636,2153.909091,2111.454546,2069,2026.545455,1984.090909,1941.636364,1899.181818,1856.727273,1814.272727,1771.818182,1729.363636,1686.909091,1644.454546,1602,1559.545455,1517.090909,1474.636364,1432.181818,1389.727273,1347.272727,1304.818182,1262.363637,1219.909091,1177.454546,1135,1092.545455,1050.090909,1007.636364,965.1818184,922.7272729,880.2727275,837.818182,795.3636366,752.9090911,710.4545457,668.0000002,625.5454548,583.0909093,540.6363639,498.1818184,455.727273,413.2727275,370.8181821,328.3636366,285.9090912,243.4545457,201.0000003,158.5454548,116.0909094,73.6363639,31.18181845,-11.272727,-53.72727245,-96.1818179,-138.6363633,-181.0909088,-223.5454542,-265.9999997,-308.4545451,-350.9090906,-393.3636361,-435.8181815,-478.272727,-520.7272724,-563.1818178,-605.6363633,-648.0909087,-690.5454542,-732.9999996,-775.4545451,-817.9090905,-860.363636,-902.8181814,-945.2727269,-987.7272723,-1030.181818,-1072.636363,-1115.090909,-1157.545454,-1200,-1242.454545,-1284.909091,-1327.363636,-1369.818181,-1412.272727,-1454.727272,-1497.181818,-1539.636363,-1582.090909,-1624.545454,-1667,-1709.454545,-1751.90909,-1794.363636
0.009090909,Aruba,"-69.968338,12.52111",ABW,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.2,4.2,4.2,4.209090909,4.218181818,4.227272727,4.236363636,4.245454545,4.254545454,4.263636363,4.272727272,4.281818181,4.29090909,4.299999999,4.309090908,4.318181817,4.327272726,4.336363635,4.345454544,4.354545453,4.363636362,4.372727271,4.38181818,4.390909089,4.399999998,4.409090907,4.418181816,4.427272725,4.436363634,4.445454543,4.454545452,4.463636361,4.47272727,4.481818179,4.490909088,4.499999997,4.509090906,4.518181815,4.527272724,4.536363633,4.545454542,4.554545451,4.56363636,4.572727269,4.581818178,4.590909087,4.599999996,4.609090905,4.618181814,4.627272723,4.636363632,4.645454541,4.65454545,4.663636359,4.672727268,4.681818177,4.690909086,4.699999995,4.709090904,4.718181813,4.727272722,4.736363631,4.74545454,4.754545449,4.763636358,4.772727267,4.781818176,4.790909085,4.799999994,4.809090903,4.818181812,4.827272721,4.83636363,4.845454539,4.854545448,4.863636357,4.872727266,4.881818175,4.890909084,4.899999993,4.909090902,4.918181811,4.92727272,4.936363629,4.945454538,4.954545447,4.963636356,4.972727265,4.981818174,4.990909083,4.999999992,5.009090901,5.01818181,5.027272719,5.036363628,5.045454537,5.054545446,5.063636355,5.072727264,5.081818173,5.090909082,5.099999991,5.1090909,5.118181809,5.127272718
