"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Afghanistan","67.709953,33.93911",67.709953,33.93911,"AFG","Forest area (% of land area)","AG.LND.FRST.ZS",2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.067824648,,
"Albania","20.168331,41.153332",20.168331,41.153332,"ALB","Forest area (% of land area)","AG.LND.FRST.ZS",28.79562044,28.72262774,28.64963504,28.57664234,28.50364964,28.43065693,28.35766423,28.28467153,28.21167883,28.13868613,28.06569343,28.16058394,28.25547445,28.35036496,28.44525547,28.54014599,28.49854015,28.45693431,28.41532847,28.37372263,28.33211679,28.29051095,28.24890511,,
"Algeria","1.659626,28.033886",1.659626,28.033886,"DZA","Forest area (% of land area)","AG.LND.FRST.ZS",0.69990847,0.696213693,0.692518915,0.688824137,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.659349887,0.655739082,0.652128276,0.64851747,0.644906665,0.641211887,0.637517109,0.633822332,0.630127554,0.626432776,0.622737998,0.619043221,,
"Andorra","1.601554,42.546245",1.601554,42.546245,"AND","Forest area (% of land area)","AG.LND.FRST.ZS",34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,,
"Angola","17.873887,-11.202692",17.873887,-11.202692,"AGO","Forest area (% of land area)","AG.LND.FRST.ZS",48.90992219,48.80981792,48.70971364,48.60960937,48.50950509,48.40940082,48.30929654,48.20919227,48.10908799,48.00898372,47.90887944,47.80877517,47.70867089,47.60856662,47.50846234,47.40835807,47.30825379,47.20814951,47.10804524,47.00794096,46.90783669,46.80773241,46.70762814,,
"Antigua and Barbuda","-61.796428,17.060816",-61.796428,17.060816,"ATG","Forest area (% of land area)","AG.LND.FRST.ZS",23.40909091,23.34090909,23.27272727,23.20454545,23.13636364,23.06818182,23,22.93181818,22.86363636,22.79545455,22.72727273,22.63636364,22.54545455,22.45454545,22.36363636,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,,
"Arab World","-61.796428,17.060816",-61.796428,17.060816,"ARB","Forest area (% of land area)","AG.LND.FRST.ZS",7.039514339,6.991576844,6.943643836,6.895713751,6.847783667,6.799860922,6.751923497,6.703993413,6.656070668,6.608140584,6.560217839,6.552174686,6.544131534,6.536181343,6.528142876,6.520109505,6.511936274,6.503779275,6.495638811,6.488692691,6.480555855,5.384449808,1.619492271,,
"Argentina","-63.616672,-38.416097",-63.616672,-38.416097,"ARG","Forest area (% of land area)","AG.LND.FRST.ZS",12.7135335,12.60639678,12.49926006,12.39212333,12.28498661,12.17784988,12.07071316,11.96357644,11.85643971,11.74930299,11.64216627,11.54993806,11.45770986,11.36548166,11.27325346,11.18102525,11.09340115,11.00577705,10.91815295,10.83052885,10.74290475,10.65528065,10.56765655,,
"Armenia","45.038189,40.069099",45.038189,40.069099,"ARM","Forest area (% of land area)","AG.LND.FRST.ZS",12.18398876,,11.886196,11.73515982,11.58412364,11.43308746,11.28205128,11.1310151,10.97997893,10.82894275,10.67790657,10.53038286,10.37921348,10.23174157,10.08426966,9.936797753,9.789325843,9.641853933,9.494382022,9.346910112,9.199438202,9.051966292,8.907622058,,
"Aruba","-69.968338,12.52111",-69.968338,12.52111,"ABW","Forest area (% of land area)","AG.LND.FRST.ZS",2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.222222222,2.333333333,2.333333333,2.333333333,,
