"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Afghanistan","67.709953,33.93911",67.709953,33.93911,"AFG","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.069821995,2.067824648,,
"Afghanistan","67.709953,33.93911",67.709953,33.93911,"AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.054880838,0.075411547,0.075778197,0.087957628,0.103269171,0.109384617,0.125558825,0.117027032,0.087836911,0.151798251,0.167425976,0.131634865,0.136979841,0.156257554,0.169446748,0.155191964,0.183427929,0.163630981,0.169006213,0.133543433,0.153029886,0.166305908,0.206086492,0.238811797,0.304391188,0.279035385,0.282405657,0.260374482,0.247511284,0.228187363,0.197712615,0.103278005,0.090615852,0.080079985,0.072146977,0.065114798,0.058606527,0.054167558,0.041647373,0.03792461,0.030232274,0.016185612,0.025222764,0.030534565,0.040857766,0.052219589,0.075568812,0.145284418,0.235439186,0.290025232,,,,
"Albania","20.168331,41.153332",20.168331,41.153332,"ALB","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.79562044,28.72262774,28.64963504,28.57664234,28.50364964,28.43065693,28.35766423,28.28467153,28.21167883,28.13868613,28.06569343,28.16058394,28.25547445,28.35036496,28.44525547,28.54014599,28.49854015,28.45693431,28.41532847,28.37372263,28.33211679,28.29051095,28.24890511,,
"Albania","20.168331,41.153332",20.168331,41.153332,"ALB","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,2.278386827,1.215676857,0.73519813,0.726062789,0.601346953,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.051950468,1.229372684,1.415471218,1.38185531,1.421353924,1.302217499,1.379077691,1.417668106,1.345103479,1.499316163,,,,
"Algeria","1.659626,28.033886",1.659626,28.033886,"DZA","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69990847,0.696213693,0.692518915,0.688824137,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.659349887,0.655739082,0.652128276,0.64851747,0.644906665,0.641211887,0.637517109,0.633822332,0.630127554,0.626432776,0.622737998,0.619043221,,
"Algeria","1.659626,28.033886",1.659626,28.033886,"DZA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.524643338,0.478616839,0.447181452,0.454132245,0.516552315,0.642420905,0.625449994,0.652489929,0.78926033,1.026151099,1.236483962,1.827602784,2.404228923,1.94853179,1.902825589,2.262715033,2.352344292,3.411230714,2.415774334,3.41559349,2.309940678,1.89101555,2.453010538,3.210003592,3.185752651,3.240410634,3.472379057,3.370763444,3.129694937,3.006721912,3.028919415,2.98751988,2.929035648,3.00320905,3.230136294,3.235587368,2.906365551,3.474320431,2.945320314,2.772147555,2.621860338,2.789232068,2.803740228,2.674522946,3.154443155,3.012793702,3.200797999,3.20834736,3.424272074,3.331511849,,,,
"American Samoa","-170.132217,-14.270972",-170.132217,-14.270972,"ASM","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.95,91.75,91.6,91.45,91.25,91.1,90.95,90.75,90.6,90.4,90.25,90.1,89.9,89.75,89.55,89.4,89.25,89.05,88.9,88.75,88.55,88.4,88.2,,
"American Samoa","-170.132217,-14.270972",-170.132217,-14.270972,"ASM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andean Region","-170.132217,-14.270972",-170.132217,-14.270972,"ANR","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andean Region","-170.132217,-14.270972",-170.132217,-14.270972,"ANR","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andorra","1.601554,42.546245",1.601554,42.546245,"AND","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,,
"Andorra","1.601554,42.546245",1.601554,42.546245,"AND","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.374494942,6.618103743,7.152051802,7.58701547,8.011048,8.018180706,7.711485294,7.422144363,7.077746784,7.142904123,7.088127747,6.673217143,6.631021503,6.740724531,6.573271971,6.636720705,,,,
"Angola","17.873887,-11.202692",17.873887,-11.202692,"AGO","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.90992219,48.80981792,48.70971364,48.60960937,48.50950509,48.40940082,48.30929654,48.20919227,48.10908799,48.00898372,47.90887944,47.80877517,47.70867089,47.60856662,47.50846234,47.40835807,47.30825379,47.20814951,47.10804524,47.00794096,46.90783669,46.80773241,46.70762814,,
"Angola","17.873887,-11.202692",17.873887,-11.202692,"AGO","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.089922099,0.229273121,0.219529973,0.229363772,0.218649754,0.281329043,0.176836322,0.292570982,0.479075885,0.60435331,0.563760846,0.729144619,0.771901471,0.752616584,0.665157493,0.48256144,0.505753303,0.753362682,0.743886369,0.700063807,0.668257008,0.567729329,0.602537921,0.570206356,0.518675818,0.500044847,0.608288737,0.523586875,0.498363916,0.428662945,0.409979248,0.401602489,0.510122619,0.331307492,0.909710423,0.842542029,0.577081314,0.556293635,0.677726241,0.685212349,0.676539905,0.850821552,0.587820499,1.176297818,1.157880358,1.300402531,1.419985486,1.452228381,1.470740834,1.555965628,,,,
